tweet_id,airline_sentiment
Test_tweet_1,neutral
Test_tweet_2,neutral
Test_tweet_3,positive
Test_tweet_4,negative
Test_tweet_5,negative
Test_tweet_6,neutral
Test_tweet_7,neutral
Test_tweet_8,neutral
Test_tweet_9,negative
Test_tweet_10,negative
Test_tweet_11,negative
Test_tweet_12,positive
Test_tweet_13,negative
Test_tweet_14,neutral
Test_tweet_15,neutral
Test_tweet_16,neutral
Test_tweet_17,negative
Test_tweet_18,negative
Test_tweet_19,positive
Test_tweet_20,neutral
Test_tweet_21,positive
Test_tweet_22,positive
Test_tweet_23,neutral
Test_tweet_24,neutral
Test_tweet_25,neutral
Test_tweet_26,negative
Test_tweet_27,neutral
Test_tweet_28,neutral
Test_tweet_29,negative
Test_tweet_30,negative
Test_tweet_31,negative
Test_tweet_32,neutral
Test_tweet_33,negative
Test_tweet_34,positive
Test_tweet_35,neutral
Test_tweet_36,negative
Test_tweet_37,negative
Test_tweet_38,positive
Test_tweet_39,neutral
Test_tweet_40,neutral
Test_tweet_41,positive
Test_tweet_42,neutral
Test_tweet_43,negative
Test_tweet_44,negative
Test_tweet_45,positive
Test_tweet_46,positive
Test_tweet_47,positive
Test_tweet_48,neutral
Test_tweet_49,neutral
Test_tweet_50,neutral
Test_tweet_51,negative
Test_tweet_52,neutral
Test_tweet_53,negative
Test_tweet_54,negative
Test_tweet_55,positive
Test_tweet_56,negative
Test_tweet_57,negative
Test_tweet_58,negative
Test_tweet_59,negative
Test_tweet_60,negative
Test_tweet_61,neutral
Test_tweet_62,negative
Test_tweet_63,negative
Test_tweet_64,negative
Test_tweet_65,negative
Test_tweet_66,negative
Test_tweet_67,negative
Test_tweet_68,neutral
Test_tweet_69,neutral
Test_tweet_70,negative
Test_tweet_71,negative
Test_tweet_72,neutral
Test_tweet_73,neutral
Test_tweet_74,negative
Test_tweet_75,negative
Test_tweet_76,neutral
Test_tweet_77,negative
Test_tweet_78,positive
Test_tweet_79,negative
Test_tweet_80,negative
Test_tweet_81,negative
Test_tweet_82,neutral
Test_tweet_83,negative
Test_tweet_84,negative
Test_tweet_85,negative
Test_tweet_86,negative
Test_tweet_87,negative
Test_tweet_88,negative
Test_tweet_89,negative
Test_tweet_90,negative
Test_tweet_91,negative
Test_tweet_92,negative
Test_tweet_93,neutral
Test_tweet_94,negative
Test_tweet_95,neutral
Test_tweet_96,negative
Test_tweet_97,negative
Test_tweet_98,negative
Test_tweet_99,negative
Test_tweet_100,negative
Test_tweet_101,negative
Test_tweet_102,neutral
Test_tweet_103,positive
Test_tweet_104,negative
Test_tweet_105,positive
Test_tweet_106,negative
Test_tweet_107,negative
Test_tweet_108,negative
Test_tweet_109,negative
Test_tweet_110,negative
Test_tweet_111,positive
Test_tweet_112,negative
Test_tweet_113,neutral
Test_tweet_114,negative
Test_tweet_115,negative
Test_tweet_116,negative
Test_tweet_117,negative
Test_tweet_118,neutral
Test_tweet_119,negative
Test_tweet_120,negative
Test_tweet_121,negative
Test_tweet_122,positive
Test_tweet_123,negative
Test_tweet_124,negative
Test_tweet_125,negative
Test_tweet_126,positive
Test_tweet_127,negative
Test_tweet_128,negative
Test_tweet_129,negative
Test_tweet_130,negative
